10000 primszam ,2  szal ,0.001000 mp alatt
50000,2,0.009000
100000,2,0.018000
200000,2,0.049000
350000,2,0.117000
1000000,2,0.493000
4000000,2,3.331000
10000000,2,13.081000
20000000,2,40.863000
10000,3,0.002000
50000,3,0.005000
100000,3,0.012000
200000,3,0.030000
350000,3,0.057000
1000000,3,0.230000
4000000,3,1.988000
10000000,3,7.450000
20000000,3,21.335000
10000,4,0.006000
50000,4,0.014000
100000,4,0.025000
200000,4,0.033000
350000,4,0.061000
1000000,4,0.249000
4000000,4,1.964000
10000000,4,7.574000
20000000,4,20.472000
10000,10,0.016000
50000,10,0.058000
100000,10,0.049000
200000,10,0.048000
350000,10,0.039000
1000000,10,0.210000
4000000,10,0.800000
10000000,10,3.223000
20000000,10,10.707000
